review_id,annotation_id,source_label,dense_contact_sheet,shortlist_contact_sheet,candidate_frame_paths,original_interval,expanded_interval_ms,escalation_required,provisional_observation_status,response_status,corrected_element_type,corrected_map_side,corrected_lane_color,corrected_element_team,corrected_timestamp_window,notes
MR91119257V2-001,E001,Parada no Spawn Aliado,output-local/match_91119257/dense-manual-review/contact-sheets/E001_dense.jpg,output-local/match_91119257/dense-manual-review/contact-sheets/E001_shortlist.jpg,output-local/match_91119257/dense-manual-review/frames/E001/E001_initial_pm5s_0012500.jpg | output-local/match_91119257/dense-manual-review/frames/E001/E001_initial_pm5s_0015000.jpg | output-local/match_91119257/dense-manual-review/frames/E001/E001_initial_pm5s_0017500.jpg | output-local/match_91119257/dense-manual-review/frames/E001/E001_initial_pm5s_0020000.jpg | output-local/match_91119257/dense-manual-review/frames/E001/E001_initial_pm5s_0022500.jpg | output-local/match_91119257/dense-manual-review/frames/E001/E001_initial_pm5s_0017000.jpg,00:15-00:20,10000-25000,false,provisional_pending_dense_reselection,,,,,,,
MR91119257V2-002,E002,Observando Shrine Aliada da Esquerda (Lane Amarela),output-local/match_91119257/dense-manual-review/contact-sheets/E002_dense.jpg,output-local/match_91119257/dense-manual-review/contact-sheets/E002_shortlist.jpg,output-local/match_91119257/dense-manual-review/frames/E002/E002_initial_pm5s_0022500.jpg | output-local/match_91119257/dense-manual-review/frames/E002/E002_initial_pm5s_0025000.jpg | output-local/match_91119257/dense-manual-review/frames/E002/E002_initial_pm5s_0027500.jpg | output-local/match_91119257/dense-manual-review/frames/E002/E002_initial_pm5s_0030000.jpg | output-local/match_91119257/dense-manual-review/frames/E002/E002_initial_pm5s_0032500.jpg | output-local/match_91119257/dense-manual-review/frames/E002/E002_initial_pm5s_0029500.jpg,00:25-00:30,20000-35000,false,provisional_pending_dense_reselection,,,,,,,
MR91119257V2-003,E003,Observando Shrine Aliada da Direita (Lane Verde),output-local/match_91119257/dense-manual-review/contact-sheets/E003_dense.jpg,output-local/match_91119257/dense-manual-review/contact-sheets/E003_shortlist.jpg,output-local/match_91119257/dense-manual-review/frames/E003/E003_initial_pm5s_0042500.jpg | output-local/match_91119257/dense-manual-review/frames/E003/E003_initial_pm5s_0045000.jpg | output-local/match_91119257/dense-manual-review/frames/E003/E003_initial_pm5s_0047500.jpg | output-local/match_91119257/dense-manual-review/frames/E003/E003_initial_pm5s_0050000.jpg | output-local/match_91119257/dense-manual-review/frames/E003/E003_initial_pm5s_0052500.jpg | output-local/match_91119257/dense-manual-review/frames/E003/E003_initial_pm5s_0046000.jpg,00:45-00:50,40000-55000,false,provisional_pending_dense_reselection,,,,,,,
MR91119257V2-004,E004,Observando Base Guardians Aliados (Lane Amarela),output-local/match_91119257/dense-manual-review/contact-sheets/E004_dense.jpg,output-local/match_91119257/dense-manual-review/contact-sheets/E004_shortlist.jpg,output-local/match_91119257/dense-manual-review/frames/E004/E004_initial_pm5s_0057500.jpg | output-local/match_91119257/dense-manual-review/frames/E004/E004_initial_pm5s_0060000.jpg | output-local/match_91119257/dense-manual-review/frames/E004/E004_initial_pm5s_0062500.jpg | output-local/match_91119257/dense-manual-review/frames/E004/E004_initial_pm5s_0065000.jpg | output-local/match_91119257/dense-manual-review/frames/E004/E004_initial_pm5s_0067500.jpg | output-local/match_91119257/dense-manual-review/frames/E004/E004_initial_pm5s_0059500.jpg,01:00-01:05,55000-70000,false,provisional_pending_dense_reselection,,,,,,,
MR91119257V2-005,E006,Observando Base Guardians Aliados (Lane Verde),output-local/match_91119257/dense-manual-review/contact-sheets/E006_dense.jpg,output-local/match_91119257/dense-manual-review/contact-sheets/E006_shortlist.jpg,output-local/match_91119257/dense-manual-review/frames/E006/E006_initial_pm5s_0077500.jpg | output-local/match_91119257/dense-manual-review/frames/E006/E006_initial_pm5s_0080000.jpg | output-local/match_91119257/dense-manual-review/frames/E006/E006_initial_pm5s_0082500.jpg | output-local/match_91119257/dense-manual-review/frames/E006/E006_initial_pm5s_0085000.jpg | output-local/match_91119257/dense-manual-review/frames/E006/E006_initial_pm5s_0087500.jpg | output-local/match_91119257/dense-manual-review/frames/E006/E006_initial_pm5s_0076500.jpg,01:20-01:25,75000-90000,false,provisional_pending_dense_reselection,,,,,,,
MR91119257V2-006,E009,Observando Loja Aliada (Lane Amarela - Ao lado Esquerdo do Guardian),output-local/match_91119257/dense-manual-review/contact-sheets/E009_dense.jpg,output-local/match_91119257/dense-manual-review/contact-sheets/E009_shortlist.jpg,output-local/match_91119257/dense-manual-review/frames/E009/E009_escalated_pm10s_0132500.jpg | output-local/match_91119257/dense-manual-review/frames/E009/E009_escalated_pm10s_0135000.jpg | output-local/match_91119257/dense-manual-review/frames/E009/E009_escalated_pm10s_0137500.jpg | output-local/match_91119257/dense-manual-review/frames/E009/E009_escalated_pm10s_0140000.jpg | output-local/match_91119257/dense-manual-review/frames/E009/E009_escalated_pm10s_0142500.jpg | output-local/match_91119257/dense-manual-review/frames/E009/E009_escalated_pm10s_0136500.jpg,02:15-02:20,125000-150000,true,annotation_not_represented_by_current_frame_selection,,,,,,,
MR91119257V2-007,E013,Observando Walker Aliado (Lane Verde),output-local/match_91119257/dense-manual-review/contact-sheets/E013_dense.jpg,output-local/match_91119257/dense-manual-review/contact-sheets/E013_shortlist.jpg,output-local/match_91119257/dense-manual-review/frames/E013/E013_initial_pm5s_0202500.jpg | output-local/match_91119257/dense-manual-review/frames/E013/E013_initial_pm5s_0205000.jpg | output-local/match_91119257/dense-manual-review/frames/E013/E013_initial_pm5s_0207500.jpg | output-local/match_91119257/dense-manual-review/frames/E013/E013_initial_pm5s_0210000.jpg | output-local/match_91119257/dense-manual-review/frames/E013/E013_initial_pm5s_0212500.jpg | output-local/match_91119257/dense-manual-review/frames/E013/E013_initial_pm5s_0211000.jpg,03:25-03:30,200000-215000,false,,,,,,,,
MR91119257V2-008,E014,Observando Guardian Aliado (Lane Verde),output-local/match_91119257/dense-manual-review/contact-sheets/E014_dense.jpg,output-local/match_91119257/dense-manual-review/contact-sheets/E014_shortlist.jpg,output-local/match_91119257/dense-manual-review/frames/E014/E014_initial_pm5s_0212500.jpg | output-local/match_91119257/dense-manual-review/frames/E014/E014_initial_pm5s_0215000.jpg | output-local/match_91119257/dense-manual-review/frames/E014/E014_initial_pm5s_0217500.jpg | output-local/match_91119257/dense-manual-review/frames/E014/E014_initial_pm5s_0220000.jpg | output-local/match_91119257/dense-manual-review/frames/E014/E014_initial_pm5s_0222500.jpg | output-local/match_91119257/dense-manual-review/frames/E014/E014_initial_pm5s_0211000.jpg,03:35-03:40,210000-225000,false,,,,,,,,
MR91119257V2-009,E021,"Observando Guardian e Loja Inimigas (Lane Azul - Posicionada em cima da Loja, Ela fica na Esquerda do Guardian)",output-local/match_91119257/dense-manual-review/contact-sheets/E021_dense.jpg,output-local/match_91119257/dense-manual-review/contact-sheets/E021_shortlist.jpg,output-local/match_91119257/dense-manual-review/frames/E021/E021_initial_pm5s_0362500.jpg | output-local/match_91119257/dense-manual-review/frames/E021/E021_initial_pm5s_0365000.jpg | output-local/match_91119257/dense-manual-review/frames/E021/E021_initial_pm5s_0367500.jpg | output-local/match_91119257/dense-manual-review/frames/E021/E021_initial_pm5s_0370000.jpg | output-local/match_91119257/dense-manual-review/frames/E021/E021_initial_pm5s_0372500.jpg | output-local/match_91119257/dense-manual-review/frames/E021/E021_initial_pm5s_0365500.jpg,06:05-06:10,360000-375000,false,,,,,,,,
MR91119257V2-010,E028,Observando Shrine Inimiga da Direita (Lane Verde),output-local/match_91119257/dense-manual-review/contact-sheets/E028_dense.jpg,output-local/match_91119257/dense-manual-review/contact-sheets/E028_shortlist.jpg,output-local/match_91119257/dense-manual-review/frames/E028/E028_initial_pm5s_0562500.jpg | output-local/match_91119257/dense-manual-review/frames/E028/E028_initial_pm5s_0565000.jpg | output-local/match_91119257/dense-manual-review/frames/E028/E028_initial_pm5s_0567500.jpg | output-local/match_91119257/dense-manual-review/frames/E028/E028_initial_pm5s_0570000.jpg | output-local/match_91119257/dense-manual-review/frames/E028/E028_initial_pm5s_0572500.jpg | output-local/match_91119257/dense-manual-review/frames/E028/E028_initial_pm5s_0564500.jpg,09:25-09:30,560000-575000,false,,,,,,,,
