replayId,localPath,mode,completed,firstErrorCategory,firstErrorTick,firstErrorGameTimeSeconds,finalParsedTick,finalParsedGameTimeSeconds,durationSeconds,percentParsed,packetsProcessed,telemetryRows,missingEntityIds,missingBaselineIds,missingClassIds,rawError
replay_001,samples/partida_001.dem,default_parser,true,none,,,191431,5982,5982,100,191480,71760,,,,
replay_001,samples/partida_001.dem,diagnostic_recovery,true,none,,,191431,5982,5982,100,191480,71760,,,,
replay_002,samples/partida_002.dem,default_parser,true,none,,,117423,3669,3669,100,117459,44028,,,,
replay_002,samples/partida_002.dem,diagnostic_recovery,true,none,,,117423,3669,3669,100,117459,44028,,,,
replay_003,samples/partida_003.dem,default_parser,true,none,,,145912,4559,4559,100,145953,54684,,,,
replay_003,samples/partida_003.dem,diagnostic_recovery,true,none,,,145912,4559,4559,100,145953,54684,,,,
replay_004,samples/partida_004.dem,default_parser,true,none,,,128775,4024,4024,100,128812,48288,,,,
replay_004,samples/partida_004.dem,diagnostic_recovery,true,none,,,128775,4024,4024,100,128812,48288,,,,
replay_006,samples/partida_006.dem,default_parser,false,entity_not_found,3808,119,3807,118,1862,6.3876,3824,118,,,,Unable to find an entity with index [ 5594 ]
replay_006,samples/partida_006.dem,diagnostic_recovery,false,class_not_found,3808,119,3807,118,1862,6.3876,3824,118,5594|5605|5606|5610|5866|5868|6659|6755|6764|6778|6921|7041|2688809664|2688809665|2703428447|3713652679,709,891,Class not found [ 891 ]
