path,sizeBytes,extension,topLevelArea,category,generated,regenerable,uniqueEvidence,supersededBy,possibleDuplicateGroup,recommendedAction,actionConfidence,reason
.changeset/config.json,611,.json,.changeset,unknown,false,false,false,,,investigate,low,No safe classification rule matched.
.github/scripts/demo-fixtures.sh,1615,.sh,.github,unknown,false,false,false,,,investigate,low,No safe classification rule matched.
.github/scripts/proto-sync.mjs,3809,.mjs,.github,unknown,false,false,false,,,investigate,low,No safe classification rule matched.
.github/workflows/ci.yml,3386,.yml,.github,unknown,false,false,false,,,investigate,low,No safe classification rule matched.
.github/workflows/proto-sync.yml,1857,.yml,.github,unknown,false,false,false,,,investigate,low,No safe classification rule matched.
.gitignore,288,,.gitignore,unknown,false,false,false,,,investigate,low,No safe classification rule matched.
.releases/1.0.0.md,19,.md,.releases,unknown,false,false,false,,,investigate,low,No safe classification rule matched.
.releases/1.0.1.md,55,.md,.releases,unknown,false,false,false,,,investigate,low,No safe classification rule matched.
.releases/1.1.0.md,644,.md,.releases,unknown,false,false,false,,,investigate,low,No safe classification rule matched.
.releases/1.1.1.md,318,.md,.releases,unknown,false,false,false,,,investigate,low,No safe classification rule matched.
.releases/1.2.0.md,1845,.md,.releases,unknown,false,false,false,,,investigate,low,No safe classification rule matched.
.releases/1.3.0.md,765,.md,.releases,unknown,false,false,false,,,investigate,low,No safe classification rule matched.
.releases/1.3.1.md,380,.md,.releases,unknown,false,false,false,,,investigate,low,No safe classification rule matched.
.releases/1.3.2.md,101,.md,.releases,unknown,false,false,false,,,investigate,low,No safe classification rule matched.
.releases/1.4.0.md,510,.md,.releases,unknown,false,false,false,,,investigate,low,No safe classification rule matched.
.releases/1.4.1.md,78,.md,.releases,unknown,false,false,false,,,investigate,low,No safe classification rule matched.
.releases/1.5.0.md,1062,.md,.releases,unknown,false,false,false,,,investigate,low,No safe classification rule matched.
.releases/2.0.0.md,2271,.md,.releases,unknown,false,false,false,,,investigate,low,No safe classification rule matched.
.releases/2.1.0.md,1806,.md,.releases,unknown,false,false,false,,,investigate,low,No safe classification rule matched.
.releases/2.2.0.md,1285,.md,.releases,unknown,false,false,false,,,investigate,low,No safe classification rule matched.
.releases/2.3.0.md,533,.md,.releases,unknown,false,false,false,,,investigate,low,No safe classification rule matched.
.releases/3.0.0.md,1911,.md,.releases,unknown,false,false,false,,,investigate,low,No safe classification rule matched.
.releases/3.0.1.md,194,.md,.releases,unknown,false,false,false,,,investigate,low,No safe classification rule matched.
.releases/3.1.0.md,2115,.md,.releases,unknown,false,false,false,,,investigate,low,No safe classification rule matched.
.releases/3.1.1.md,941,.md,.releases,unknown,false,false,false,,,investigate,low,No safe classification rule matched.
AGENTS.md,6251,.md,AGENTS.md,active_dependency,false,false,false,,,keep_in_place,high,Operational repository file.
data/evidence/match_91119257/raw/CODEX_INSTRUCTION.md,8754,.md,data,canonical,false,false,true,,,keep_in_place,medium,Data manifest or compact evidence input.
data/evidence/match_91119257/raw/map_reference.png,241605,.png,data,canonical,false,false,true,,,keep_in_place,medium,Data manifest or compact evidence input.
data/evidence/match_91119257/raw/match_91119257_events.csv,18284,.csv,data,canonical,false,false,true,,,keep_in_place,medium,Data manifest or compact evidence input.
data/evidence/match_91119257/raw/match_91119257_metadata.json,1326,.json,data,canonical,false,false,true,,,keep_in_place,medium,Data manifest or compact evidence input.
